Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_CfgVehicles_ZenWolfMask1,"A mask made from the head of a dead wolf.","A mask made from the head of a dead wolf.","Maska vyrobená z hlavy mrtvého vlka","Eine Maske aus dem Kopf eines toten Wolfes","Маска из головы мертвого волка.","Maska wykonana z głowy martwego wilka","Egy döglött farkas fejéből készült maszk","Una maschera ricavata dalla testa di un lupo morto","Una máscara hecha con la cabeza de un lobo muerto.","Un masque fabriqué à partir de la tête d'un loup mort","用死狼頭製成的面具","死んだオオカミの頭から作られたマスク","",""
STR_CfgVehicles_ZenSkeleton0,"Skeleton","Skeleton","Kostra","Skelett","Скелет","Szkielet","Csontváz","Scheletro","Esqueleto","Squelette","骨骼","スケルトン","",""
STR_CfgVehicles_ZenSkeleton1,"Yuck.","Yuck.","fuj","Igitt","Фу","Fuj","fúj","che schifo","¡Qué asco!","Beurk","噁心","うわー","",""
STR_CfgVehicles_ZenCamoShelterKit0,"Camo Net Shelter Kit","Camo Net Shelter Kit","Sada krytu maskovací sítě","Tarnnetz-Schutzset","Комплект укрытия камуфляжной сеткой","Zestaw osłony z siatki maskującej","Camo Net Shelter Kit","Kit di protezione per rete mimetica","Kit de refugio de red de camuflaje","Kit d'abri en filet de camouflage","迷彩網庇護所套件","迷彩ネット シェルター キット","",""
STR_CfgVehicles_ZenCamoNetStrip0,"Strip of Camo Netting","Strip of Camo Netting","Proužek camo síťoviny","Streifen aus Tarnnetz","Полоса камуфляжной сетки","Pasek siatki Camo","Camo Netting csík","Striscia di rete mimetica","Tira de red de camuflaje","Bande de filet de camouflage","迷彩網帶","カモフラージュネットのストリップ","",""
STR_CfgVehicles_ZenCamoNetStrip1,"A short strip crafted from a camo net. If I combine it with some Netting I can make a ghillie out of this...","A short strip crafted from a camo net. If I combine it with some Netting I can make a ghillie out of this...","Krátký proužek vytvořený z maskovací sítěKdyž to zkombinuju s nějakou síťovinou, můžu z toho udělat ghillie.","Ein kurzer Streifen aus einem TarnnetzWenn ich es mit etwas Netz kombiniere, kann ich daraus einen Ghillie machen.","Короткая полоска из камуфляжной сетки.Если я совмещу это с сеткой, я смогу сделать из этого маскировочный костюм..","Krótki pasek wykonany z siatki maskującejJeśli połączę to z siatką, mogę zrobić z tego ghillie.","Camo hálóból készült rövid csíkHa kombinálom valamilyen netezéssel, akkor ebből ghillie-t csinálhatok.","Una breve striscia realizzata con una rete mimeticaSe lo combino con un po' di rete posso farne un ghillie.","Una tira corta confeccionada con una red de camuflaje.Si lo combino con un poco de Netting puedo hacer un ghillie con esto..","Une courte bande confectionnée à partir d'un filet camouflageSi je le combine avec du filet, je peux en faire un ghillie..","由迷彩網製成的短帶如果我把它和一些網結合起來我可以用它來製作一個吉利.","迷彩柄のネットから作られたショートストリップいくつかのネットと組み合わせれば、これでギリーを作ることができます.","",""
STR_CfgVehicles_ZenConcussionGrenade0,"MK3 Grenade","MK3 Grenade","Granát MK3","MK3-Granate","Граната МК3","Granat MK3","MK3 gránát","Granata MK3","Granada MK3","Grenade MK3","MK3 手榴彈","MK3 グレネード","",""
STR_CfgVehicles_ZenConcussionGrenade1,"The MK3 hand grenade is a non-lethal grenade that produces minimal shrapnel and is capable of knocking survivors unconscious.","The MK3 hand grenade is a non-lethal grenade that produces minimal shrapnel and is capable of knocking survivors unconscious.","Ruční granát MK3 je nesmrtící granát, který produkuje minimální šrapnel a je schopen přeživší uvést do bezvědomí.","Die MK3-Handgranate ist eine nicht-tödliche Granate, die nur minimale Splitter erzeugt und in der Lage ist, Überlebende bewusstlos zu machen","Ручная граната МК3 — это несмертельная граната, производящая минимальное количество осколков и способная лишить выживших сознания.","Granat ręczny MK3 to granat nieśmiercionośny, który wytwarza minimalną ilość odłamków i jest w stanie pozbawić ocalałych przytomności","Az MK3 kézigránát egy nem halálos gránát, amely minimális repeszeket termel, és képes a túlélők eszméletvesztésére.","La bomba a mano MK3 è una granata non letale che produce poche schegge ed è in grado di far perdere i sensi ai sopravvissuti","La granada de mano MK3 es una granada no letal que produce una mínima metralla y es capaz de dejar inconscientes a los supervivientes.","La grenade à main MK3 est une grenade non mortelle qui produit un minimum d'éclats d'obus et est capable d'assommer les survivants.","MK3 手榴彈是一種非致命性手榴彈，產生的彈片極少，能夠將倖存者擊昏","MK3 手榴弾は、破片の発生を最小限に抑え、生存者を気絶させることができる非致死性手榴弾です。","",""
STR_CfgVehicles_ZenEmptyCan0,"Empty Can","Empty Can","Prázdná plechovka","Leere Dose","Пустая банка","Pusta puszka","Üres doboz","Lattina vuota","Lata vacia","Cannette vide","空罐","空き缶","",""
STR_CfgVehicles_ZenEmptyCan1,"An empty food can. It must have been recently discarded by a survivor...","An empty food can. It must have been recently discarded by a survivor...","Prázdná plechovka od jídlaMusel to být nedávno vyřazen přeživším.","Eine leere KonservendoseEs muss kürzlich von einem Überlebenden weggeworfen worden sein.","Пустая консервная банкаДолжно быть, его недавно выбросил выживший..","Pusta puszka po jedzeniuMusiał zostać niedawno wyrzucony przez ocalałego.","Egy üres ételdobozBiztosan nemrég dobta ki egy túlélő.","Una lattina di cibo vuotaDeve essere stato scartato di recente da un sopravvissuto.","Una lata de comida vacía.Debe haber sido descartado recientemente por un sobreviviente..","Une boîte de conserve videIl a dû être récemment abandonné par un survivant.","一個空的食物罐頭它一定是最近被倖存者丟棄的.","空の食品缶最近生存者によって捨てられたに違いない.","",""
STR_ZenGui_MusicSettings,"CASSETTE MUSIC","CASSETTE MUSIC","KAZETOVÁ HUDBA","KASSETTENMUSIK","КАССЕТНАЯ МУЗЫКА","MUZYKA KASETOWA","KAZETTA ZENE","MUSICA SU CASSETTA","MÚSICA EN CASSETTE","CASSETTES MUSIQUES","盒式音樂","カセットミュージック","",""
STR_ZenGui_ShowRadioBadge,"RADIO BADGE","RADIO BADGE","ODZNAK RÁDIA","FUNKABZEICHEN","РАДИО ЗНАК","ODZNACZKA RADIOWA","RÁDIÓJELZŐ","DISTINTIVO RADIO","INSIGNIA DE RADIO","INSIGNE RADIO","無線電徽章","ラジオバッジ","",""
STR_ZenGui_AdminTitle,"Server Admin Message","Server Admin Message","Zpráva správce serveru","Server-Administrator-Nachricht","Сообщение администратора сервера","Wiadomość administratora serwera","Szerveradminisztrációs üzenet","Messaggio dell'amministratore del server","Mensaje de administrador del servidor","Message de l'administrateur du serveur","伺服器管理訊息","サーバー管理者のメッセージ","",""
STR_ZenGui_AdminSubtitle,"This is a message from the server admins","This is a message from the server admins","Toto je zpráva od administrátorů serveru","Dies ist eine Nachricht der Serveradministratoren","Это сообщение от администраторов сервера","To jest wiadomość od administratorów serwera","Ez egy üzenet a szerver adminisztrátorától","Questo è un messaggio dagli amministratori del server","Este es un mensaje de los administradores del servidor.","Ceci est un message des administrateurs du serveur","這是來自伺服器管理員的消息","サーバー管理者からのメッセージです","",""
STR_ZenGui_NoCopyright,"No Copyright","No Copyright","Žádná autorská práva","Kein Urheberrecht","Нет авторских прав","Brak praw autorskich","Nincs szerzői jog","Nessun diritto d'autore","Sin derechos de autor","Aucun droit d'auteur","無版權","著作権なし","",""
STR_ZenGui_Submit,"SUBMIT","SUBMIT","VYBRAT","WÄHLEN","ВЫБИРАТЬ","SKŁADAĆ","BEKÜLDÉS","INVIA","ENTREGAR","SOUMETTRE","提交","提出する","",""
STR_ZenGui_RaidAlarmTitle,"RAID ALARM STATION","RAID ALARM STATION","RAID ALARM STANICE","RAID-ALARMSTATION","РЕЙД-СИГНАЛЬНАЯ СТАНЦИЯ","NAJAZDOWA STACJA ALARMOWA","RAID RIASZTÓÁLLOMÁS","STAZIONE DI ALLARME RAID","ESTACIÓN DE ALARMA RAID","STATION D'ALARME RAID","RAID 警報站","RAID アラーム ステーション","",""
STR_ZenGui_RaidAlarmSubtitle,"Enter up to 3 Discord webhook URLs here. Click the buttons to paste/clear.","Enter up to 3 Discord webhook URLs here. Click the buttons to paste/clear.","Zde zadejte až 3 adresy URL webhooku DiscordKlepnutím na tlačítka vložíte/vymažete.","Geben Sie hier bis zu 3 Discord-Webhook-URLs einKlicken Sie auf die Schaltflächen zum Einfügen/Löschen.","Введите здесь до 3 URL-адресов веб-перехватчиков Discord.Нажмите кнопки, чтобы вставить/очистить.","Wpisz tutaj maksymalnie 3 adresy URL webhooków DiscordKliknij przyciski, aby wkleić/wyczyścić.","Adjon meg itt legfeljebb 3 Discord webhook URL-tKattintson a gombokra a beillesztéshez/törléshez.","Inserisci qui fino a 3 URL webhook DiscordFare clic sui pulsanti per incollare/cancellare.","Ingrese hasta 3 URL de webhook de Discord aquíHaga clic en los botones para pegar/borrar.","Entrez ici jusqu'à 3 URL de webhook DiscordCliquez sur les boutons pour coller/effacer.","此處輸入最多 3 個 Discord Webhook URL點選按鈕進行貼上/清除.","ここに最大 3 つの Discord Webhook URL を入力しますボタンをクリックして貼り付け/クリアします.","",""
STR_ZenGui_RaidAlarmGuide,"GUIDE","GUIDE","PRŮVODCE","FÜHRUNG","ГИД","PRZEWODNIK","ÚTMUTATÓ","GUIDA","GUÍA","GUIDE","指導","ガイド","",""
STR_ZenGui_DiscordWebhook,"Webhook","Webhook","Webhook","Webhook","Вебхук","Webhook","Webhook","Webhook","gancho web","Webhook","網路鉤子","Webhook","",""
STR_ZenGui_RaidAlarmRotate,"Rotate","Rotate","Točit se","Drehen","Поворот","Obracać się","Forog","Ruotare","Girar","Tourner","旋轉","回転","",""
STR_ZenGui_RaidAlarmViewSettings,"Manage alarm","Manage alarm","Spravovat alarm","Alarm verwalten","Управление сигнализацией","Zarządzaj alarmem","Riasztás kezelése","Gestisci allarme","Administrar alarma","Gérer l'alarme","管理警報","アラームの管理","",""
STR_ZenGui_RaidAlarmBuild,"Build raid alarm","Build raid alarm","Sestavte nájezdový alarm","Raid-Alarm bauen","Построить рейдовую сигнализацию","Zbuduj alarm nalotowy","Raid riasztó építése","Costruisci un allarme anti-incursione","Construir alarma de incursión","Construire une alarme de raid","建立突襲警報","レイドアラームを構築する","",""
STR_CfgVehicles_ZenRaidAlarmStation0,"Raid Alarm Station","Raid Alarm Station","Raid Alarm Station","Überfallalarmstation","Станция рейдовой сигнализации","Stacja alarmowa napadu","Raid riasztó állomás","Stazione di allarme raid","Estación de alarma de incursión","Station d'alarme anti-raid","襲擊警報站","襲撃警報ステーション","",""
STR_CfgVehicles_ZenRaidAlarmStation1,"All I need is a Field Transceiver with a car battery attached to this rack with a Screwdriver, and I can be alerted via radio when someone attacks my base. If I find a Discord satellite uplink kit I can even be notified remotely!","All I need is a Field Transceiver with a car battery attached to this rack with a Screwdriver, and I can be alerted via radio when someone attacks my base. If I find a Discord satellite uplink kit I can even be notified remotely!","Vše, co potřebuji, je Field Transceiver s autobaterií připojenou k tomuto stojanu pomocí šroubováku a mohu být upozorněn rádiem, když někdo zaútočí na mou základnuPokud najdu satelitní uplink kit Discord, mohu být upozorněn i na dálku!","Alles, was ich brauche, ist ein Feldtransceiver mit einer Autobatterie, der mit einem Schraubenzieher an diesem Rack befestigt wird, und ich kann per Funk benachrichtigt werden, wenn jemand meine Basis angreiftWenn ich ein Discord-Satelliten-Uplink-Kit finde, kann ich sogar aus der Ferne benachrichtigt werden!","Все, что мне нужно, это полевой трансивер с автомобильным аккумулятором, прикрепленный к этой стойке с помощью отвертки, и я могу быть предупрежден по радио, когда кто-то атакует мою базу.Если я найду комплект спутниковой связи Discord, меня даже можно будет уведомить удаленно.!","Wszystko, czego potrzebuję, to nadajnik-odbiornik polowy z akumulatorem samochodowym przymocowanym do tego stojaka za pomocą śrubokręta i mogę zostać powiadomiony przez radio, gdy ktoś zaatakuje moją bazęJeśli znajdę zestaw do łączenia się z satelitą Discord, otrzymam nawet zdalne powiadomienie!","Csak egy Field Transceiverre van szükségem autóakkumulátorral, ami ehhez a rackhez csavarhúzóval van csatlakoztatva, és rádión értesíthetek, ha valaki megtámadja a bázisomat.Ha találok egy Discord műholdas uplink készletet, akár távolról is értesíthetek!","Tutto ciò di cui ho bisogno è un ricetrasmettitore da campo con una batteria per auto collegata a questo rack con un cacciavite e posso essere avvisato via radio quando qualcuno attacca la mia baseSe trovo un kit di uplink satellitare Discord posso essere avvisato anche da remoto!","Todo lo que necesito es un transceptor de campo con una batería de automóvil conectada a este bastidor con un destornillador, y puedo recibir alertas por radio cuando alguien ataque mi base.Si encuentro un kit de enlace ascendente satelital de Discord, incluso puedo recibir notificaciones de forma remota!","Tout ce dont j'ai besoin c'est d'un émetteur-récepteur de terrain avec une batterie de voiture fixée à ce support à l'aide d'un tournevis, et je peux être alerté par radio lorsque quelqu'un attaque ma base.Si je trouve un kit de liaison montante par satellite Discord, je peux même être averti à distance!","我所需要的只是一個帶有汽車電池的現場收發器，用螺絲起子連接到這個機架上，當有人攻擊我的基地時，我可以透過無線電收到警報如果我找到 Discord 衛星上行鏈路套件，我甚至可以收到遠端通知!","必要なのは、ドライバーを使用してこのラックに取り付けられた車のバッテリーを備えたフィールド トランシーバーだけです。誰かが私の基地を攻撃したときに無線で警告を受け取ることができますDiscord サテライト アップリンク キットを見つけた場合は、リモートから通知を受けることもできます!","",""
STR_CfgVehicles_ZenRaidAlarmRadar1,"If I attach this to my Raid Alarm Station with a Cable Reel, I'll be notified via Discord if my base is ever attacked.","If I attach this to my Raid Alarm Station with a Cable Reel, I'll be notified via Discord if my base is ever attacked.","Pokud toto připojím ke své Raid Alarm Station pomocí Cable Reel, budu upozorněn přes Discord, pokud bude moje základna někdy napadena","Wenn ich dies mit einer Kabeltrommel an meiner Raid-Alarmstation befestige, werde ich über Discord benachrichtigt, wenn meine Basis jemals angegriffen wird","Если я прикреплю это к своей станции рейдовой сигнализации с помощью кабельной катушки, я буду уведомлен через Discord, если моя база когда-либо подвергнется нападению.","Jeśli podłączę to do mojej stacji alarmowej za pomocą szpuli kablowej, zostanę powiadomiony przez Discord, jeśli moja baza zostanie kiedykolwiek zaatakowana","Ha kábeltekerccsel rögzítem a Raid Alarm Station-emhez, Discord-on keresztül értesítenek, ha a bázisomat megtámadják","Se lo collego alla mia stazione di allarme raid con un avvolgicavo, verrò avvisato tramite Discord se la mia base viene attaccata","Si conecto esto a mi estación de alarma Raid con un carrete de cable, se me notificará a través de Discord si mi base alguna vez es atacada.","Si je l'attache à ma station d'alarme Raid avec un enrouleur de câble, je serai averti via Discord si ma base est attaquée.","如果我用電纜捲軸將其連接到我的襲擊警報站，如果我的基地受到攻擊，我將透過 Discord 收到通知","これをケーブル リールで襲撃警報ステーションに取り付ければ、基地が攻撃された場合に Discord 経由で通知されます","",""
STR_CfgVehicles_ZenRaidAlarmRadar0,"Discord Satellite Uplink","Discord Satellite Uplink","Discord Satellite Uplink","Discord-Satelliten-Uplink","Спутниковая связь Discord","Łącze satelitarne Discord","Discord Satellite Uplink","Uplink satellitare Discord","Enlace ascendente por satélite de Discord","Liaison montante par satellite Discord","Discord 衛星上行鏈路","Discord サテライト アップリンク","",""
STR_ZenGui_Minutes,"minutes","minutes","zápis","Minuten","минуты","protokół","jegyzőkönyv","minuti","minutos","minutes","分分鐘","分","",""
STR_ZenGui_Seconds,"seconds","seconds","sekundy","Sekunden","секунды","towary drugiej jakości","másodpercig","secondi","artículos de segunda clase","secondes","秒","秒","",""
STR_ZenGui_Days,"days","days","dní","Tage","дни","dni","napokon","giorni","días","jours","天","日","",""
STR_ZenGui_Hours,"hours","hours","hodin","Std.","часы","godziny","óra","ore","horas","heures","小時","時間","",""
STR_ZenGui_EngraveWeapon,"Engrave weapon","Engrave weapon","Gravírovat zbraň","Waffe gravieren","Гравировать оружие","Wygraweruj broń","Gravírozott fegyver","Incidi l'arma","grabar arma","Graver une arme","雕刻武器","武器を刻む","",""
STR_CfgVehicles_ZenFlint0,"Flint","Flint","Pazourek","Feuerstein","Флинт","Krzemień","Kovakő","Selce","Pedernal","Silex","燧石","フリント","",""
STR_CfgVehicles_ZenFlint1,"This can be used to start a fire. Just use a steel tool on this flint such as a knife, axe or even certain tools like a crowbar or screwdriver.","This can be used to start a fire. Just use a steel tool on this flint such as a knife, axe or even certain tools like a crowbar or screwdriver.","To lze použít k založení ohněStačí na tento pazourek použít ocelový nástroj, jako je nůž, sekera nebo dokonce určité nástroje, jako páčidlo nebo šroubovák..","Damit lässt sich ein Feuer entfachenVerwenden Sie für diesen Feuerstein einfach ein Stahlwerkzeug wie ein Messer, eine Axt oder sogar bestimmte Werkzeuge wie ein Brecheisen oder einen Schraubenzieher.","Это можно использовать для разжигания огняПросто используйте стальной инструмент, такой как нож, топор или даже некоторые инструменты, такие как лом или отвертка..","Można to wykorzystać do rozpalenia ogniaPo prostu użyj stalowego narzędzia na tym krzemieniu, takiego jak nóż, siekiera, a nawet niektórych narzędzi, takich jak łom lub śrubokręt.","Ezzel lehet tüzet gyújtaniCsak használjon acélszerszámot erre a kovakőre, például kést, fejszét vagy akár bizonyos eszközöket, például feszítővasat vagy csavarhúzót.","Questo può essere usato per accendere un fuocoBasta usare uno strumento d'acciaio su questa selce come un coltello, un'ascia o anche alcuni strumenti come un piede di porco o un cacciavite.","Esto se puede utilizar para iniciar un incendio.Simplemente use una herramienta de acero en este pedernal, como un cuchillo, un hacha o incluso ciertas herramientas como una palanca o un destornillador..","Cela peut être utilisé pour allumer un feuIl suffit d'utiliser un outil en acier sur ce silex comme un couteau, une hache ou encore certains outils comme un pied de biche ou un tournevis.","這可以用來生火只需在打火石上使用鋼製工具，例如刀、斧頭，甚至某些工具，例如撬棍或螺絲起子.","これを使って火を起こすことができますこのフリントにはナイフ、斧、バールやドライバーなどの特定のツールなどの鋼製ツールを使用するだけです。.","",""
STR_ZenGui_PrepareFlint,"Prepare flint","Prepare flint","Připravte si pazourek","Feuerstein vorbereiten","Подготовьте кремень","Przygotuj krzemień","Készítse elő a kovakőt","Preparare la selce","preparar pedernal","Préparer le silex","準備火石","フリントを準備する","",""
STR_ZenGui_DigIceHole,"Dig fishing hole","Dig fishing hole","Vykopejte rybářskou díru","Graben Sie ein Angelloch","Выкопать яму для рыбалки","Wykop dziurę do łowienia ryb","Áss horgászlyukat","Scava una buca per la pesca","Cavar un hoyo para pescar","Creusez un trou de pêche","挖坑釣魚","釣り穴を掘る","",""
STR_ZenGui_LiquidWhisky,"WHISKY","WHISKY","WHISKY","WHISKEY","ВИСКИ","WHISKY","WHISKY","WHISKY","WHISKY","WHISKY","威士忌酒","ウィスキー","",""
STR_CfgVehicles_ZenFlask0,"Flask","Flask","Baňka","Flasche","Колба","Kolba","Lombik","Pallone","Matraz","Ballon","燒瓶","フラスコ","",""
STR_CfgVehicles_ZenFlask1,"A stainless steel hip flask. Might have some booze left in it, but if not then it would make a decent container for boiling water to purify it.","A stainless steel hip flask. Might have some booze left in it, but if not then it would make a decent container for boiling water to purify it.","Kydlová baňka z nerezové oceliMožná v ní zbylo trochu chlastu, ale pokud ne, byla by to slušná nádoba na vařící vodu, která ji pročistí.","Ein Flachmann aus EdelstahlMöglicherweise ist noch etwas Alkohol darin, aber wenn nicht, wäre es ein guter Behälter für kochendes Wasser zum Reinigen.","Фляга из нержавеющей сталиВозможно, в нем осталось немного выпивки, но если нет, то из него получится приличная емкость для кипячения воды для ее очистки..","Piersiówka ze stali nierdzewnejMoże zostało w nim trochę alkoholu, ale jeśli nie, byłby to porządny pojemnik na wrzątek, aby go oczyścić.","Rozsdamentes acél csípős lombikLehet, hogy maradt benne egy kis pia, de ha nem, akkor megfelelő edény lesz belőle forrásban lévő víz tisztítására.","Una fiaschetta in acciaio inossidabilePotrebbe contenere un po' di alcol, ma in caso contrario sarebbe un buon contenitore per far bollire l'acqua per purificarla..","Una petaca de acero inoxidablePuede que le quede algo de alcohol, pero si no, sería un recipiente decente para hervir agua y purificarlo..","Une flasque en acier inoxydableIl pourrait y avoir un peu d'alcool dedans, mais sinon, cela ferait un bon récipient pour faire bouillir de l'eau pour la purifier..","不鏽鋼酒壺裡面可能還剩下一些酒，但如果沒有的話，它會成為一個不錯的容器，用來裝沸水來淨化它.","ステンレス製ヒップフラスコ酒が残っているかもしれないが、もしそうでなければ、それを浄化するための熱湯を入れるのに適した容器になるだろう.","",""
STR_CfgVehicles_ZenCommunityBarrel0,"Community Barrel","Community Barrel","Komunitní hlaveň","Community Barrel","Общественная ствола","Kolefa społeczności","Közösségi hordó","Barile della comunità","Cañón comunitario","Baril communautaire","社區桶","コミュニティバレル","Barril comunitário","社区桶"
STR_CfgVehicles_ZenCommunityBarrel1,"This barrel is so worn out that if I try to move it I think it will fall apart. Better leave it where it is.","This barrel is so worn out that if I try to move it I think it will fall apart. Better leave it where it is.","Tato hlaveň je tak opotřebovaná, že když se pokusím pohnout, myslím, že se to rozpadneRaději to nechte, kde to je.","Dieses Fass ist so abgenutzt, dass, wenn ich versuche, es zu bewegen, ich denke, es wird auseinander fallenLassen Sie es besser dort, wo es ist.","Этот ствол настолько изношен, что если я попытаюсь переместить его, я думаю, что он развалитсяЛучше оставить это там, где это.","Ta lufa jest tak zużyta, że \u200b\u200bjeśli spróbuję ją przenieść, myślę, że się rozpadnieLepiej zostaw to tam, gdzie jest.","Ez a hordó annyira elhasználódott, hogy ha megpróbálom mozgatni, azt hiszem, hogy szétesikJobb, ha ott van, ahol van.","Questa canna è così logora che se provo a spostarla penso che cadrà a pezziMeglio lasciarlo dov'è.","Este barril está tan agitado que si trato de moverlo creo que se desmoronaráMejor dejarlo donde está.","Ce baril est tellement usé que si j'essaie de le déplacer, je pense qu'il s'effondreraMieux vaut le laisser là où il est.","這個槍管是如此疲憊，如果我試圖移動它，我認為它會崩潰最好把它留在那裡.","このバレルはとても疲れているので、私がそれを動かそうとすると、私はそれがバラバラになると思いますそれがある場所にそれを残した方が良いです.","Este barril está tão gasto que, se eu tentar movê -lo, acho que vai desmoronarMelhor deixar onde está.","这个枪管是如此疲惫，如果我试图移动它，我认为它会崩溃最好把它留在那里."
STR_ZenCarMusicToggleTxt,"Car Music - On/Off","Car Music - On/Off","Automobilová hudba - zapnuto/vypnuto","Automusik - Ein/Aus","Автомобильная музыка - включена/выключена","Muzyka samochodowa - włączanie/wyłączenie","Autózene - be-/ki","Musica per auto - ON/OFF","Música de autos - encendido/apagado","Musique de voiture - ON / OFF","汽車音樂 - 開/關","カーミュージック - オン/オフ","Música de carro - On/Off","汽车音乐 - 开/关"
STR_ZenCarMusicVolumeUpTxt,"Car Music - Volume Up","Car Music - Volume Up","Automobilová hudba - hlasitost","Automusik - Lautstärke","Автомобильная музыка - громкость","Muzyka samochodowa - Volume Up","Autózene - hangerő","Musica automobilistica - Volume Up","Música de autos - Volumen Up","Musique de voiture - volume","汽車音樂 - 音量增加","カーミュージック - ボリュームアップ","Música de carro - volume para cima","汽车音乐 - 音量增加"
STR_ZenCarMusicVolumeDownTxt,"Car Music - Volume Down","Car Music - Volume Down","Automobilová hudba - hlasitost","Automusik - Lautstärke nach unten","Автомобильная музыка - громкость вниз","Muzyka samochodowa - wolność","Autózene - Volume Down","Musica auto - Volume Down","Música de autos - Volumen Down","Musique de voiture - Volume Down","汽車音樂 - 音量降低","カーミュージック - ボリュームダウン","Música de carro - volume para baixo","汽车音乐 - 音量降低"
STR_CfgVehicles_ZenPen,"Pen","Pen","Pero","Stift","Ручка","Pióro","Toll","Penna","Bolígrafo","Stylo","筆","ペン","Caneta","笔"
STR_CfgVehicles_ZenJournal0,"Journal","Journal","Časopis","Zeitschrift","Журнал","Dziennik","Folyóirat","Diario","Diario","Journal","雜誌","ジャーナル","Jornal","杂志"
STR_CfgVehicles_ZenJournal1,"Someone seems to have repurposed this old Bible into a journal to track their survival story. Seems fitting, considering the circumstances.","Someone seems to have repurposed this old Bible into a journal to track their survival story. Seems fitting, considering the circumstances.","Zdá se, že někdo znovu přepracoval tuto starou Bibli do deníku, aby sledoval jejich příběh o přežitíSe zdá být vhodné, vzhledem k okolnostem.","Jemand scheint diese alte Bibel in ein Tagebuch umzuwandeln, um seine Überlebensgeschichte zu verfolgenScheint passend, wenn man die Umstände berücksichtigt.","Кто -то, кажется, перепрофилировал эту старую Библию в журнал, чтобы отследить их историю выживанияКажется уместным, учитывая обстоятельства.","Wygląda na to, że ktoś zmienił tę stare Biblia do dziennika, aby śledzić swoją historię przetrwaniaWydaje się pasować, biorąc pod uwagę okoliczności.","Úgy tűnik, hogy valaki újból megismételte ezt a régi Bibliát egy folyóiratba, hogy nyomon kövesse a túlélési történetétMegfelelőnek tűnik, figyelembe véve a körülményeket.","Qualcuno sembra aver riproposto questa vecchia Bibbia in un diario per tracciare la loro storia di sopravvivenzaSembra appropriato, considerando le circostanze.","Alguien parece haber reutilizado esta vieja Biblia en un diario para rastrear su historia de supervivencia.Parece apropiado, considerando las circunstancias.","Quelqu'un semble avoir réutilisé cette vieille Bible dans un journal pour suivre son histoire de survieSemble approprié, compte tenu des circonstances.","似乎有人將這本舊聖經重新定為日記以跟踪他們的生存故事考慮情況似乎很合適.","誰かが彼らのサバイバルストーリーを追跡するためにこの古い聖書を日記に再利用したようです状況を考慮して、ふさわしいようです.","Alguém parece ter reaproveitado essa antiga Bíblia em um diário para rastrear sua história de sobrevivênciaParece apropriado, considerando as circunstâncias.","似乎有人将这本旧圣经重新定为日记以跟踪他们的生存故事考虑情况似乎很合适."
STR_CfgVehicles_ZenDex0,"Dextroamphetamine","Dextroamphetamine","Dextroamfetamin","Dextroamphetamin","Декстроамфетамин","Dekstroamfetamina","Dextroamfetamin","Destroamfetamina","Dextroanfetamina","Dextroamphétamine","右旋苯丙胺","デキストロンフェタミン","Dextroanfetamina","右旋苯丙胺"
STR_CfgVehicles_ZenInterior,"Interior","Interior","Interiér","Innere","Интерьер","Wnętrze","Belső","Interno","Interior","Intérieur","內部的","インテリア","Interior","内部的"
STR_CfgVehicles_ZenAttachments,"Attachments","Attachments","Přílohy","Anhänge","Вложения","Załączniki","Mellékletek","Allegati","Accesorios","Attachements","附件","添付ファイル","Anexos","附件"
